Description,Supplier,URL,Entity,Expense Type,Transaction Number,Amount,Expense Area,Date,Departmental Family
National Citizen Service project grant,THE CHALLENGE NETWORK,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,CABINET OFFICE,Resource Grants to Private Sector,3000018405,"861,822.00",OFFICE FOR CIVIL SOCIETY,29/07/2011,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Accommodation and Utilities,3000021731,"81,164.76",ESTATE MANAGEMENT,03/01/12,Cabinet Office
Community First grants,COMMUNITY DEVELOPMENT FOUNDATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Resource Grants to Private Sector,3000021741,"2,919,750.00",OFFICE FOR CIVIL SOCIETY,04/01/12,Cabinet Office
Security costs for government secure intranet,CESG,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Government Procurement Service,GSI COS,PINDOH 33835,"46,833.00",Network Services,04/01/12,Cabinet Office
Government managed telecoms contract,Siemens,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Government Procurement Service,Moves & Changes,PINDOH 33867,"1,015,115.00",Network Services,04/01/12,Cabinet Office
Professional services,AON HEWITT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Consultancy,3000021823,"55,305.06",SCHEME MANAGEMENT EXECUTIVE,06/01/12,Cabinet Office
"Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",CAPITA RESOURCING LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Agency and Temporary Staff,3000021785,"26,326.26",GOVERNMENT CIO SUMMARY,06/01/12,Cabinet Office
Support and maintenance of the Directgov Mobile site,CIMEX MEDIA LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,IT Costs,3000021787,"37,343.86",GOVERNMENT DIGITAL SERVICE,06/01/12,Cabinet Office
Hosting and maintenance of the Directgov website,STERIA LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,IT Costs,3000021804,"976,174.71",GOVERNMENT DIGITAL SERVICE,06/01/12,Cabinet Office
Licence for 2010/2011,THE COPYRIGHT LICENSING AGENCY LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Supplies and Services,1000473,"26,474.43",KNOWLEDGE AND INFORMATION MANAGEMENT,06/01/12,Cabinet Office
Capitation costs and legal fees,TREASURY SOLICITOR TSOL,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Supplies and Services,3000021806,"151,229.10",CENTRAL BUDGETS,06/01/12,Cabinet Office
Telecomms line rentals,BT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Accommodation and Utilities,3000021826,"50,620.05",PRIME MINISTERS OFFICE,09/01/12,Cabinet Office
"Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",CAPITA RESOURCING LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Agency and Temporary Staff,3000021829,"33,844.50",GOVERNMENT CIO SUMMARY,09/01/12,Cabinet Office
Payment of quarterly rent charge,COI CENTRAL OFFICE OF INFORMATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Accommodation and Utilities,3000021832,"125,000.00",GOVERNMENT DIGITAL SERVICE,09/01/12,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Accommodation and Utilities,3000021834,"916,349.76",ESTATE MANAGEMENT,09/01/12,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Government Procurement Service,SAP Rental,PCROHD 975,"-162,106.49",Network Services,09/01/12,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Government Procurement Service,Call Charges Std,PINMTS 21259,"40,662.36",Network Services,09/01/12,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Government Procurement Service,SAP Rental,PINMTS 21332,"102,955.95",Network Services,09/01/12,Cabinet Office
Rent for accommodation,AIRSCAPE LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Land and Buildings,2000219,"290,845.50",ESTATE MANAGEMENT,10/01/12,Cabinet Office
Investment in the risk capital fund for social enterprise,BRIDGES VENTURES LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Investments,1000474,"166,725.51",OFFICE FOR CIVIL SOCIETY,10/01/12,Cabinet Office
Support and maintenance of the Boundary Commission for Englands consultation website in relation to the statutory consultation stages of the 2013 Review of Parliamentary constituencies in England. ,COI CENTRAL OFFICE OF INFORMATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Supplies and Services,3000021858,"39,290.00",POLITICAL AND CONSTITUTIONAL REFORM,10/01/12,Cabinet Office
Flex service charge,FUJITSU SERVICES,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,IT Costs,3000021861,"529,327.00",IT AND TELECOMS BRANCH,10/01/12,Cabinet Office
Purchase of legal publications ,LEXIS NEXIS BUTTERWORTHS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Supplies and Services,3000021866,"97,416.00",PARLIAMENTARY COUNSEL OFFICE,10/01/12,Cabinet Office
Copy charges for printing machines in Reprographics Department,ING Lease (UK) Limited,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,National School of Government,Copy Charges and Hire,64INGL001136405519/12/2011," 33,800.22 ",Corporate Services & Operation,10/01/12,Cabinet Office
Private Finance Initiative payment for student & office accommodation,De Vere Venues Ltd,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,National School of Government,De Vere PFI contract fee,64DEVE0091027262403/01/2012," 206,653.51 ",Corporate Services & Operation,10/01/12,Cabinet Office
"Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",CAPITA RESOURCING LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Agency and Temporary Staff,3000021883,"48,346.12",GOVERNMENT CIO SUMMARY,11/01/12,Cabinet Office
"Support, maintenance and development of e-PIMS, the government property database",CORPORATE DOCUMENT SERVICES LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,IT Costs,3000021886,"31,402.57",ERG STRATEGY AND MANAGEMENT INFORMATION,11/01/12,Cabinet Office
Interim IT specialists,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Agency and Temporary Staff,3000021911,"42,603.94",GOVERNMENT DIGITAL SERVICE,12/01/12,Cabinet Office
Professional services,PWC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Consultancy,3000021917,"198,352.00",CIVIL SERVICE PENSIONS,12/01/12,Cabinet Office
Legal costs,TREASURY SOLICITORS DEPT 3861,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Supplies and Services,3000021921,"134,194.00",CENTRAL BUDGETS,12/01/12,Cabinet Office
Lean procurement process consultancy,Unipart Expert Practices,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Government Procurement Service,Consultancy Fees,PINVP2P 480,"40,000.00",Governance & Assurance,13/01/12,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Accommodation and Utilities,3000021989,"26,547.43",ESTATE MANAGEMENT,16/01/12,Cabinet Office
Licences for procurement evaluation system,Bravosolution UK Ltd,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Government Procurement Service,Bravo License Costs,PINVP2P 484,"33,420.00",IT,16/01/12,Cabinet Office
"Quarterly payments for hosting of e-PIMS, the government property database",CABLE & WIRELESS PLC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,IT Costs,3000022014,"41,084.50",ERG STRATEGY AND MANAGEMENT INFORMATION,17/01/12,Cabinet Office
"Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",CAPITA RESOURCING LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Agency and Temporary Staff,3000022016,"29,415.24",GOVERNMENT CIO SUMMARY,17/01/12,Cabinet Office
Annual subscription to research and analysis on ICT spend for central government,KABLE GUARDIAN NEWS & MEDIA LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Supplies and Services,3000022024,"29,940.00",ERG STRATEGY AND MANAGEMENT INFORMATION,17/01/12,Cabinet Office
Reprographic services,RICOH UK LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Supplies and Services,3000022027,"36,781.68",ESTATE MANAGEMENT,17/01/12,Cabinet Office
IT hardware and software,SPECIALIST COMPUTER CENTRES PLC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,IT Hardware,3000022028,"45,643.23",GOVERNMENT DIGITAL SERVICE,17/01/12,Cabinet Office
Strategic partners transition grant ,COMMUNITY MATTERS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Resource Grants to Private Sector,3000022039,"25,000.00",OFFICE FOR CIVIL SOCIETY,18/01/12,Cabinet Office
National Study into Completeness and Accuracy of the Electoral Registers,ELECTORAL COMMISSION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Research and Development (VAT Recoverable),3000022041,"34,800.00",POLITICAL AND CONSTITUTIONAL REFORM,18/01/12,Cabinet Office
Social Action Fund grants,SOCIAL INVESTMENT BUSINESS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Resource Grants to Private Sector,1000478,"237,484.00",OFFICE FOR CIVIL SOCIETY,18/01/12,Cabinet Office
IT Equipment Leasing,ALTODIGITAL NETWORKS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,IT Costs,3000022061,"26,611.49",PRIME MINISTERS OFFICE,19/01/12,Cabinet Office
Professional services,AON HEWITT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Consultancy,3000022062,"29,246.48",SCHEME MANAGEMENT EXECUTIVE,19/01/12,Cabinet Office
BT Telephone Line rental,BT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Accommodation and Utilities,3000022063,"25,069.17",INTELLIGENCE SECURITY AND RESILIENCE,19/01/12,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Accommodation and Utilities,3000022066,"35,774.72",PRIME MINISTERS OFFICE,19/01/12,Cabinet Office
"Part costs of the verbatim transcripts for each of the public hearings held across England, in relation to the review of Parliamentary constituency boundaries by the Boundary Commission for England",MERRILL LEGAL SOLUTIONS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Supplies and Services,3000022070,"49,885.41",POLITICAL AND CONSTITUTIONAL REFORM,19/01/12,Cabinet Office
Supporting a web portal allowing easy access to funding opportunities for the voluntary and community sector. ,NCVO,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,IT Costs,3000022073,"92,671.25",OFFICE FOR CIVIL SOCIETY,19/01/12,Cabinet Office
Professional services,PWC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Consultancy,3000022075,"91,406.35",SCHEME MANAGEMENT EXECUTIVE,19/01/12,Cabinet Office
Fees and disbursements,TREASURY SOLICITOR TSOL,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Supplies and Services,3000022080,"47,199.35",CENTRAL BUDGETS,19/01/12,Cabinet Office
Security costs for government secure intranet,CESG,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Government Procurement Service,GSI COS,PINDOH 33908,"46,833.00",Network Services,19/01/12,Cabinet Office
Facilities Management Services,ECOVERT FM,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Accommodation and Utilities,3000022105,"26,547.43",ESTATE MANAGEMENT,20/01/12,Cabinet Office
Costs for the ICT Futures Director,ETON COLLEGE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Agency and Temporary Staff,3000022106,"32,976.00",ERG STRATEGY AND MANAGEMENT INFORMATION,20/01/12,Cabinet Office
Purchase of legal publications ,LEXIS NEXIS BUTTERWORTHS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Supplies and Services,3000022118,"31,940.85",PARLIAMENTARY COUNSEL OFFICE,20/01/12,Cabinet Office
Information Assurance Technical Programme,MINISTRY OF DEFENCE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/Transparency-data-Jan-2012.csv,Cabinet Office,Accommodation and Utilities,3000022119,"1,200,000.00",INTELLIGENCE SECURITY AND RESILIENCE,20/01/12,Cabinet Office
